GeneID	GeneName	seed	spikelet	stem
SORBI_3001G027800	SORBI_3001G027800	1	2	2
SORBI_3001G027900	SORBI_3001G027900		3	
SORBI_3001G028000	SORBI_3001G028000	9	6	17
SORBI_3001G028100	SORBI_3001G028100	26	72	125
SORBI_3001G028400	SORBI_3001G028400	25	40	42
SORBI_3001G028500	SORBI_3001G028500	6	18	20
SORBI_3001G028600	SORBI_3001G028600			1
SORBI_3001G028700	SORBI_3001G028700	4	8	25
SORBI_3001G028800	SORBI_3001G028800	13	15	126
SORBI_3001G028900	SORBI_3001G028900	1	2	5
SORBI_3001G029000	SORBI_3001G029000	7	8	9
SORBI_3001G029100	SORBI_3001G029100	0.9	4	2
SORBI_3001G029200	SORBI_3001G029200	174	452	393
SORBI_3001G029300	SORBI_3001G029300	5	16	
SORBI_3001G029400	SORBI_3001G029400	12	18	26
SORBI_3001G029600	SORBI_3001G029600	3	7	2
SORBI_3001G029700	SORBI_3001G029700	17	0.9	
SORBI_3001G029800	SORBI_3001G029800		0.9	3
SORBI_3001G029900	SORBI_3001G029900	0.6	1	3
SORBI_3001G030000	SORBI_3001G030000	52	59	66
SORBI_3001G030100	SORBI_3001G030100	2	3	3
SORBI_3001G030200	SORBI_3001G030200	5	3	5
SORBI_3001G030300	SORBI_3001G030300	39	87	75
SORBI_3001G030400	SORBI_3001G030400	11	17	34
SORBI_3001G030500	SORBI_3001G030500	1	6	14
SORBI_3001G030600	SORBI_3001G030600	4	2	5
SORBI_3001G030900	SORBI_3001G030900			1
SORBI_3001G031100	SORBI_3001G031100	42	84	99
SORBI_3001G031200	SORBI_3001G031200	16	30	39
SORBI_3001G031300	SORBI_3001G031300	9	21	39
SORBI_3001G031400	SORBI_3001G031400	8	15	15
SORBI_3001G031500	SORBI_3001G031500	0.8	1	1
SORBI_3001G031600	SORBI_3001G031600	25	33	42
SORBI_3001G031700	SORBI_3001G031700	3	1	10
SORBI_3001G031800	SORBI_3001G031800	1	3	2
SORBI_3001G031900	SORBI_3001G031900	8	20	13
SORBI_3001G032000	SORBI_3001G032000	2	7	16
SORBI_3001G032100	SORBI_3001G032100	5	48	40
SORBI_3001G032200	SORBI_3001G032200	13	55	28
SORBI_3001G032300	SORBI_3001G032300	0.8		5
SORBI_3001G032400	SORBI_3001G032400		1	9
SORBI_3001G032550	SORBI_3001G032550	3	3	4
SORBI_3001G032700	SORBI_3001G032700	3	4	5
SORBI_3001G032800	SORBI_3001G032800	52	60	91
SORBI_3001G032850	SORBI_3001G032850			0.9
SORBI_3001G032900	SORBI_3001G032900		7	6
SORBI_3001G033000	SORBI_3001G033000	6	12	14
SORBI_3001G033100	SORBI_3001G033100	39	50	39
SORBI_3001G033200	SORBI_3001G033200	5	8	19
SORBI_3001G033300	SORBI_3001G033300	70	27	43
SORBI_3001G033400	SORBI_3001G033400	74	31	32
SORBI_3001G033500	SORBI_3001G033500	20	29	50
SORBI_3001G033600	SORBI_3001G033600	0.6	1	1
SORBI_3001G033701	SORBI_3001G033701		2	
SORBI_3001G033800	SORBI_3001G033800		0.9	2
SORBI_3001G033900	SORBI_3001G033900	3	4	5
SORBI_3001G034000	SORBI_3001G034000	1	2	3
SORBI_3001G034100	SORBI_3001G034100	8	10	18
SORBI_3001G034200	SORBI_3001G034200	0.5	2	
SORBI_3001G034300	SORBI_3001G034300	3	2	9
SORBI_3001G034500	SORBI_3001G034500	56	37	65
SORBI_3001G034600	SORBI_3001G034600	20	24	28
SORBI_3001G034700	SORBI_3001G034700	546	1368	1545
SORBI_3001G034900	SORBI_3001G034900	3	3	2
SORBI_3001G035000	SORBI_3001G035000	0.8	2	52
SORBI_3001G035100	SORBI_3001G035100	1		2
SORBI_3001G035200	SORBI_3001G035200	43	49	61
SORBI_3001G035400	SORBI_3001G035400	102	172	188
SORBI_3001G035450	SORBI_3001G035450		0.5	0.6
SORBI_3001G035500	SORBI_3001G035500	14	40	57
SORBI_3001G035600	SORBI_3001G035600	130	154	179
SORBI_3001G035800	SORBI_3001G035800	4	11	50
SORBI_3001G035900	SORBI_3001G035900	9	11	20
SORBI_3001G036050	SORBI_3001G036050	10	11	19
SORBI_3001G036200	SORBI_3001G036200	1	228	
SORBI_3001G036300	SORBI_3001G036300	19	47	41
SORBI_3001G036700	SORBI_3001G036700	15	15	16
SORBI_3001G036800	SORBI_3001G036800	12	20	16
SORBI_3001G036900	SORBI_3001G036900	214	185	549
