GeneID,Gene Name,floral meristem,flower,plant embryo,root,shoot,vegetative meristem
ENSRNA049483723,snoZ103,,,,0.8,,2
ENSRNA049483725,snoZ103,4,0.8,,2,1,
ENSRNA049483727,snoZ103,,,,0.8,,
ENSRNA049483729,snoU36a,,,3,,,2
ENSRNA049483730,snoU36a,6,8,5,6,3,3
ENSRNA049483744,snoZ103,,,2,2,1,2
ENSRNA049483746,snoZ223,,,3,,,
ENSRNA049483749,snoZ103,,0.8,,1,1,5
ENSRNA049483755,snoR80,3,2,2,5,0.9,4
ENSRNA049483773,snoR97,0.9,0.7,,,,0.9
ENSRNA049483777,snoZ278,0.8,,,,,0.8
ENSRNA049483796,snoR38,1,,,4,1,2
ENSRNA049483819,U6,,0.7,,,,
ENSRNA049484243,snoF1_F2,1,,3,10,1,3
ENSRNA049484264,snoZ196,,,,7,4,7
ENSRNA049484288,snoZ194,2,,2,7,,0.9
ENSRNA049484440,U2,1,0.4,6,,,2
ENSRNA049484442,U2,0.5,7,4,,0.6,0.9
ENSRNA049484445,U6,,21,11,4,6,5
ENSRNA049484452,snoR101,2,1,11,,5,7
ENSRNA049484453,U5,,,,,2,
ENSRNA049484455,snoR24,0.9,,,1,,1
ENSRNA049484459,Plant_U3,,4,5,,0.5,
ENSRNA049484461,U2,,4,,,,
ENSRNA049484467,snoR143,12,9,3,12,5,14
ENSRNA049484470,snoR143,8,6,8,4,3,4
ENSRNA049484472,snoZ118,2,,,1,,0.9
ENSRNA049484480,snoZ118,6,0.8,2,,,2
ENSRNA049484481,snoZ118,1,,,,,
ENSRNA049484482,snoZ118,0.8,,,0.7,1,2
ENSRNA049484485,snoZ118,5,,,,,2
ENSRNA049484489,snosnR60_Z15,6,,,2,1,2
ENSRNA049484490,snoZ118,2,,,0.7,1,2
ENSRNA049484491,snoZ118,2,,2,3,2,3
ENSRNA049484576,SSU_rRNA_eukarya,0.3,,,,,0.3
ENSRNA049484579,SSU_rRNA_eukarya,0.1,,,,,0.1
ENSRNA049484582,SSU_rRNA_eukarya,9,2,4,3,2,3
ENSRNA049484584,SSU_rRNA_eukarya,0.7,0.5,0.4,0.3,0.6,1
ENSRNA049484585,SSU_rRNA_eukarya,0.4,0.1,0.4,,,0.1
ENSRNA049484587,SSU_rRNA_eukarya,4,1,2,5,2,5
ENSRNA049484589,SSU_rRNA_eukarya,107,25,26,46,42,156
ENSRNA049484591,SSU_rRNA_eukarya,4,1,1,2,1,4
ENSRNA049484592,SSU_rRNA_eukarya,8,2,3,3,2,9
ENSRNA049484593,LSU_rRNA_eukarya,15,0.3,0.3,0.4,1,18
ENSRNA049484594,SSU_rRNA_eukarya,1,0.3,0.7,0.5,0.2,3
ENSRNA049484628,SSU_rRNA_eukarya,5,11,6,4,2,11
ENSRNA049484630,5_8S_rRNA,1,0.5,,,,1
ENSRNA049484632,5_8S_rRNA,,0.5,,,,1
ENSRNA049484637,5_8S_rRNA,0.6,,,,,
ENSRNA049484638,5_8S_rRNA,1,,,,,0.6
ENSRNA049484640,SSU_rRNA_eukarya,0.9,0.8,2,,1,3
ENSRNA049484834,U2,,3,4,,,0.9
ENSRNA049484836,U2,,0.8,2,,,0.4
ENSRNA049484839,RNase_MRP,0.4,,,,,
ENSRNA049484868,LSU_rRNA_eukarya,,,0.9,,,
ENSRNA049484875,U5,0.8,1,,,,
ENSRNA049485356,U2,2,2,5,,1,2
ENSRNA049485360,snoR135,7,2,3,26,3,9
ENSRNA049485365,snoR135,5,1,5,19,2,4
ENSRNA049485366,snoZ161_228,2,,,2,1,4
ENSRNA049485368,snoZ161_228,,,3,0.9,1,2
ENSRNA049485374,U5,,,2,,,
ENSRNA049485376,SNORD34,11,,8,2,3,11
ENSRNA049485378,U2,0.5,3,3,,0.5,0.9
ENSRNA049485379,snoR135,10,1,3,15,1,7
ENSRNA049485380,SNORD34,2,,6,,1,2
ENSRNA049485381,SNORD34,8,,3,1,2,8
ENSRNA049485385,Plant_SRP,,2,1,0.5,2,0.5
ENSRNA049485470,SSU_rRNA_eukarya,0.1,,,,,0.3
ENSRNA049485526,SSU_rRNA_eukarya,0.1,,,0.1,,0.4
ENSRNA049485533,SSU_rRNA_eukarya,0.5,0.4,0.1,0.1,0.3,0.5
ENSRNA049485542,5_8S_rRNA,1,,,,,1
