GeneID,Gene Name,floral meristem,flower,plant embryo,root,shoot,vegetative meristem
SORBI_3004G107700,SORBI_3004G107700,,0.7,,23,5,
SORBI_3004G107800,SORBI_3004G107800,11,8,6,35,4,19
SORBI_3004G107900,SORBI_3004G107900,0.5,3,1,21,6,0.4
SORBI_3004G108001,SORBI_3004G108001,8,5,15,1,1,7
SORBI_3004G108100,SORBI_3004G108100,7,5,15,9,8,7
SORBI_3004G108200,SORBI_3004G108200,,,,17,,
SORBI_3004G108300,SORBI_3004G108300,0.8,3,2,3,0.5,1
SORBI_3004G108400,SORBI_3004G108400,194,54,141,50,24,173
SORBI_3004G108501,SORBI_3004G108501,1,0.7,4,0.4,0.1,2
SORBI_3004G108600,SORBI_3004G108600,,0.1,,,,
SORBI_3004G108700,SORBI_3004G108700,3,0.3,2,,,3
SORBI_3004G108800,SORBI_3004G108800,,0.1,,9,,
SORBI_3004G108900,SORBI_3004G108900,0.5,0.2,0.3,0.2,0.2,0.9
SORBI_3004G109000,SORBI_3004G109000,21,13,59,4,42,19
SORBI_3004G109100,SORBI_3004G109100,0.3,0.4,,0.3,6,0.1
SORBI_3004G109200,SORBI_3004G109200,0.2,0.3,,0.5,1,0.4
SORBI_3004G109300,SORBI_3004G109300,,0.6,0.5,1,0.2,
SORBI_3004G109400,SORBI_3004G109400,0.1,0.1,0.3,,0.1,0.1
SORBI_3004G109500,SORBI_3004G109500,12,6,4,3,2,11
SORBI_3004G109600,SORBI_3004G109600,,0.1,,0.6,,0.1
SORBI_3004G109700,SORBI_3004G109700,0.5,,0.2,,0.1,0.3
SORBI_3004G109750,SORBI_3004G109750,16,6,17,11,3,18
SORBI_3004G109900,SORBI_3004G109900,,,0.4,3,,
SORBI_3004G110200,SORBI_3004G110200,,,1,7,,
SORBI_3004G110300,SORBI_3004G110300,,0.1,,0.3,0.1,
SORBI_3004G110400,SORBI_3004G110400,0.1,0.4,0.3,2,3,0.2
SORBI_3004G110500,SORBI_3004G110500,0.5,0.2,1,1,0.3,1
SORBI_3004G110700,SORBI_3004G110700,,0.4,1,55,0.2,
SORBI_3004G111000,SORBI_3004G111000,266,59,102,53,25,230
SORBI_3004G111100,SORBI_3004G111100,28,126,20,368,86,21
SORBI_3004G111200,SORBI_3004G111200,,0.1,,0.3,0.7,
SORBI_3004G111300,SORBI_3004G111300,3,2,3,3,3,3
SORBI_3004G111400,SORBI_3004G111400,,,,,0.1,
SORBI_3004G111500,SORBI_3004G111500,0.1,,47,,,
SORBI_3004G111600,SORBI_3004G111600,8,4,3,2,2,8
SORBI_3004G111650,SORBI_3004G111650,0.5,0.1,0.5,0.2,0.1,0.5
SORBI_3004G111700,SORBI_3004G111700,20,22,14,6,6,15
SORBI_3004G111800,SORBI_3004G111800,0.2,0.2,,0.1,,
SORBI_3004G112100,SORBI_3004G112100,10,6,6,3,48,9
SORBI_3004G112200,SORBI_3004G112200,,,3,4,0.1,
SORBI_3004G112300,SORBI_3004G112300,0.3,5,,6,2,
SORBI_3004G112400,SORBI_3004G112400,,1,,9,3,
SORBI_3004G112500,SORBI_3004G112500,7,2,0.4,2,1,4
SORBI_3004G112600,SORBI_3004G112600,44,11,13,13,11,26
SORBI_3004G112800,SORBI_3004G112800,0.1,3,0.7,3,1,0.1
SORBI_3004G112900,SORBI_3004G112900,6,3,6,3,0.9,7
SORBI_3004G113000,SORBI_3004G113000,,0.4,,0.2,,
SORBI_3004G113100,SORBI_3004G113100,41,12,15,34,19,48
SORBI_3004G113201,SORBI_3004G113201,,,0.1,,,
SORBI_3004G113300,SORBI_3004G113300,0.4,0.1,0.2,,0.3,0.5
SORBI_3004G113400,SORBI_3004G113400,46,40,52,50,27,46
SORBI_3004G113600,SORBI_3004G113600,22,72,28,31,10,26
SORBI_3004G113700,SORBI_3004G113700,25,13,11,13,7,27
SORBI_3004G113800,SORBI_3004G113800,19,78,36,85,76,25
SORBI_3004G113900,SORBI_3004G113900,73,4,38,6,14,56
SORBI_3004G114000,SORBI_3004G114000,7,4,4,2,2,7
SORBI_3004G114200,SORBI_3004G114200,,,0.2,,,
SORBI_3004G114300,SORBI_3004G114300,0.3,3,0.3,87,0.9,0.1
SORBI_3004G114400,SORBI_3004G114400,0.1,85,0.1,518,380,
SORBI_3004G114500,SORBI_3004G114500,,0.4,1,2,2,0.1
SORBI_3004G114600,SORBI_3004G114600,14,,116,,,10
SORBI_3004G114700,SORBI_3004G114700,,,896,,,
SORBI_3004G114800,SORBI_3004G114800,21,48,24,2,460,29
SORBI_3004G115000,SORBI_3004G115000,0.8,,0.9,,0.2,0.7
SORBI_3004G115100,SORBI_3004G115100,4,0.7,2,0.8,0.5,10
SORBI_3004G115350,SORBI_3004G115350,63,31,48,39,26,64
SORBI_3004G115500,SORBI_3004G115500,0.7,,,0.3,0.6,0.2
SORBI_3004G115600,SORBI_3004G115600,129,14,35,33,5,161
SORBI_3004G115700,SORBI_3004G115700,110,3,34,5,2,135
SORBI_3004G115800,SORBI_3004G115800,36,24,35,29,18,49
SORBI_3004G115900,SORBI_3004G115900,0.1,45,0.5,9,1,0.2
SORBI_3004G116000,SORBI_3004G116000,39,32,34,39,30,31
SORBI_3004G116050,SORBI_3004G116050,,3,,,,
SORBI_3004G116100,SORBI_3004G116100,24,53,37,11,364,25
SORBI_3004G116200,SORBI_3004G116200,,,20,,,
SORBI_3004G116300,SORBI_3004G116300,413,52,26,15,101,153
SORBI_3004G116400,SORBI_3004G116400,12,28,9,19,19,12
SORBI_3004G116500,SORBI_3004G116500,23,7,24,6,3,19
SORBI_3004G116600,SORBI_3004G116600,61,161,43,59,36,52
SORBI_3004G116800,SORBI_3004G116800,4,8,2,46,18,4
SORBI_3004G116900,SORBI_3004G116900,16,6,15,7,4,16
SORBI_3004G117000,SORBI_3004G117000,21,13,10,7,9,15
SORBI_3004G117200,SORBI_3004G117200,10,7,6,4,5,12
SORBI_3004G117300,SORBI_3004G117300,39,19,23,21,4,57
SORBI_3004G117400,SORBI_3004G117400,171,119,131,32,18,191
SORBI_3004G117532,SORBI_3004G117532,,0.1,,,,
SORBI_3004G117600,SORBI_3004G117600,4,1,2,6,2,3
SORBI_3004G117800,SORBI_3004G117800,107,189,126,141,149,138
SORBI_3004G117850,SORBI_3004G117850,3,2,3,2,0.6,3
SORBI_3004G117900,SORBI_3004G117900,45,55,64,42,29,47
SORBI_3004G117950,SORBI_3004G117950,1,0.3,,0.5,0.5,0.9
SORBI_3004G118000,SORBI_3004G118000,9,2,1,3,2,7
SORBI_3004G118200,SORBI_3004G118200,12,269,25,177,116,11
SORBI_3004G118400,SORBI_3004G118400,12,7,5,6,4,8
SORBI_3004G118500,SORBI_3004G118500,37,14,24,15,9,42
SORBI_3004G118600,SORBI_3004G118600,7,3,6,1,1,5
SORBI_3004G118700,SORBI_3004G118700,66,51,46,38,42,52
SORBI_3004G118800,SORBI_3004G118800,11,5,7,3,4,9
SORBI_3004G118900,SORBI_3004G118900,,5,,,22,
SORBI_3004G119000,SORBI_3004G119000,5,4,1,3,3,4
SORBI_3004G119100,SORBI_3004G119100,23,12,14,13,11,21
SORBI_3004G119200,SORBI_3004G119200,115,143,134,73,39,128
SORBI_3004G119400,SORBI_3004G119400,17,3,10,3,4,13
SORBI_3004G119500,SORBI_3004G119500,17,7,7,4,34,18
SORBI_3004G119600,SORBI_3004G119600,0.1,0.4,,4,,
SORBI_3004G119700,SORBI_3004G119700,65,6,20,24,2,72
SORBI_3004G119800,SORBI_3004G119800,,,,15,,
SORBI_3004G119900,SORBI_3004G119900,,,,3,,
SORBI_3004G120000,SORBI_3004G120000,,,,0.9,,
SORBI_3004G120100,SORBI_3004G120100,7,12,9,5,24,8
SORBI_3004G120150,SORBI_3004G120150,9,1,2,0.4,2,27
SORBI_3004G120300,SORBI_3004G120300,60,51,41,67,20,76
SORBI_3004G120500,SORBI_3004G120500,,0.9,,0.5,,
SORBI_3004G120600,SORBI_3004G120600,,2,,0.2,,
SORBI_3004G120866,SORBI_3004G120866,0.3,0.2,0.3,0.5,0.2,0.7
SORBI_3004G121100,SORBI_3004G121100,103,122,78,84,75,109
SORBI_3004G121200,SORBI_3004G121200,1,3,2,55,2,0.7
SORBI_3004G121300,SORBI_3004G121300,29,19,31,35,20,31
SORBI_3004G121400,SORBI_3004G121400,,2,,,5,
SORBI_3004G121600,SORBI_3004G121600,,,,17,,
SORBI_3004G121700,SORBI_3004G121700,,,,3,,
SORBI_3004G121800,SORBI_3004G121800,,,,14,0.1,
SORBI_3004G121900,SORBI_3004G121900,,0.2,,6,1,
SORBI_3004G122000,SORBI_3004G122000,63,44,64,26,16,52
SORBI_3004G122100,SORBI_3004G122100,8,0.4,1,3,4,6
SORBI_3004G122200,SORBI_3004G122200,,8,,4,78,
SORBI_3004G122300,SORBI_3004G122300,4,1,6,1,0.9,4
SORBI_3004G122500,SORBI_3004G122500,116,72,8,18,45,79
SORBI_3004G122600,SORBI_3004G122600,,30,6,50,16,
SORBI_3004G122700,SORBI_3004G122700,0.1,3,,,,0.1
SORBI_3004G122800,SORBI_3004G122800,1,7,4,22,6,3
SORBI_3004G122900,SORBI_3004G122900,107,97,98,53,30,125
SORBI_3004G123000,SORBI_3004G123000,17,17,19,14,7,13
SORBI_3004G123100,SORBI_3004G123100,0.1,110,,1,0.1,0.1
SORBI_3004G123200,SORBI_3004G123200,18,2,20,0.8,0.4,16
SORBI_3004G123300,SORBI_3004G123300,15,10,15,13,24,15
SORBI_3004G123400,SORBI_3004G123400,79,26,133,28,15,88
SORBI_3004G123600,SORBI_3004G123600,6,2,2,0.5,7,5
SORBI_3004G124000,SORBI_3004G124000,3,4,2,3,2,3
SORBI_3004G124100,SORBI_3004G124100,31,21,30,36,20,37
SORBI_3004G124200,SORBI_3004G124200,94,165,235,306,147,99
SORBI_3004G124300,SORBI_3004G124300,20,9,18,7,5,20
SORBI_3004G124400,SORBI_3004G124400,57,38,51,0.9,207,48
SORBI_3004G124500,SORBI_3004G124500,66,64,82,42,30,58
SORBI_3004G124601,SORBI_3004G124601,0.1,,,,,
SORBI_3004G124700,SORBI_3004G124700,10,14,15,10,11,11
SORBI_3004G124800,SORBI_3004G124800,0.2,0.1,0.2,,1,0.1
SORBI_3004G125100,SORBI_3004G125100,,,,6,2,
SORBI_3004G125200,SORBI_3004G125200,6,2,1,2,2,4
SORBI_3004G125300,SORBI_3004G125300,,,0.6,,,
SORBI_3004G125400,SORBI_3004G125400,0.1,106,2,23,4,
SORBI_3004G125600,SORBI_3004G125600,0.1,,0.1,,0.1,
SORBI_3004G125700,SORBI_3004G125700,2,1,0.8,1,3,2
SORBI_3004G125701,SORBI_3004G125701,0.1,,,,,0.1
SORBI_3004G125800,SORBI_3004G125800,38,16,86,8,36,34
SORBI_3004G125900,SORBI_3004G125900,52,22,4,44,12,59
SORBI_3004G126000,SORBI_3004G126000,21,15,27,16,12,20
SORBI_3004G126050,SORBI_3004G126050,,,,0.3,,
SORBI_3004G126100,SORBI_3004G126100,0.1,,,0.1,0.2,
SORBI_3004G126200,SORBI_3004G126200,,,,13,,
SORBI_3004G126500,SORBI_3004G126500,0.1,,0.2,108,0.1,
SORBI_3004G126601,SORBI_3004G126601,8,2,1,2,0.6,5
SORBI_3004G126700,SORBI_3004G126700,6,,3,63,1,12
SORBI_3004G126900,SORBI_3004G126900,,,0.1,,,
SORBI_3004G127000,SORBI_3004G127000,0.3,0.9,,,,0.1
SORBI_3004G127132,SORBI_3004G127132,0.5,0.5,0.4,,,0.3
SORBI_3004G127200,SORBI_3004G127200,,,,0.1,,
SORBI_3004G127300,SORBI_3004G127300,,0.4,0.5,,,
SORBI_3004G127350,SORBI_3004G127350,0.8,,,0.1,,0.7
SORBI_3004G127400,SORBI_3004G127400,11,9,14,8,6,11
SORBI_3004G127500,SORBI_3004G127500,2,0.1,,0.1,0.2,1
SORBI_3004G127600,SORBI_3004G127600,0.5,0.2,0.2,,0.3,0.3
SORBI_3004G127700,SORBI_3004G127700,51,46,94,89,46,67
SORBI_3004G127733,SORBI_3004G127733,1,,,,,0.7
SORBI_3004G127766,SORBI_3004G127766,3,0.2,1,0.7,0.2,4
SORBI_3004G127800,SORBI_3004G127800,31,29,37,8,42,38
SORBI_3004G127900,SORBI_3004G127900,20,17,22,15,13,24
SORBI_3004G128000,SORBI_3004G128000,22,27,26,32,13,30
SORBI_3004G128100,SORBI_3004G128100,0.7,3,1,4,1,0.7
SORBI_3004G128200,SORBI_3004G128200,61,30,43,30,24,64
SORBI_3004G128400,SORBI_3004G128400,,1,,,0.3,0.1
SORBI_3004G128500,SORBI_3004G128500,7,1,2,8,2,7
SORBI_3004G128600,SORBI_3004G128600,45,12,4,75,71,66
SORBI_3004G128633,SORBI_3004G128633,0.4,,,,,2
SORBI_3004G128666,SORBI_3004G128666,4,0.2,0.3,0.4,0.9,3
SORBI_3004G128700,SORBI_3004G128700,0.1,0.1,,0.1,0.1,
SORBI_3004G128800,SORBI_3004G128800,2,0.4,0.1,2,1,2
SORBI_3004G128900,SORBI_3004G128900,12,32,30,11,179,15
SORBI_3004G129100,SORBI_3004G129100,10,6,16,13,7,13
SORBI_3004G129300,SORBI_3004G129300,153,76,119,65,47,153
SORBI_3004G129400,SORBI_3004G129400,0.9,0.1,0.2,,,0.8
SORBI_3004G129500,SORBI_3004G129500,16,11,16,8,4,15
SORBI_3004G129600,SORBI_3004G129600,55,18,41,23,12,68
SORBI_3004G129700,SORBI_3004G129700,,0.1,0.9,5,,0.1
SORBI_3004G129800,SORBI_3004G129800,0.1,,5,5,,
SORBI_3004G129900,SORBI_3004G129900,0.1,2,3,10,0.4,
SORBI_3004G130001,SORBI_3004G130001,54,18,26,14,9,48
SORBI_3004G130100,SORBI_3004G130100,323,440,453,388,262,358
SORBI_3004G130200,SORBI_3004G130200,27,12,31,25,11,32
SORBI_3004G130300,SORBI_3004G130300,18,23,11,19,17,17
SORBI_3004G130400,SORBI_3004G130400,24,52,50,72,32,21
SORBI_3004G130500,SORBI_3004G130500,2,0.5,1,21,0.1,2
SORBI_3004G130600,SORBI_3004G130600,0.4,5,,27,3,0.6
SORBI_3004G130700,SORBI_3004G130700,0.2,1,,,,
SORBI_3004G130800,SORBI_3004G130800,90,40,189,74,117,120
SORBI_3004G130900,SORBI_3004G130900,31,35,31,61,35,45
SORBI_3004G130932,SORBI_3004G130932,5,10,1,1,6,6
SORBI_3004G130964,SORBI_3004G130964,3,1,2,0.3,0.5,3
SORBI_3004G130980,SORBI_3004G130980,0.4,,0.7,,,0.5
SORBI_3004G131040,SORBI_3004G131040,32,26,43,41,45,36
SORBI_3004G131100,SORBI_3004G131100,20,11,9,7,4,17
SORBI_3004G131200,SORBI_3004G131200,3,0.9,0.8,0.3,0.6,2
SORBI_3004G131300,SORBI_3004G131300,39,21,30,20,15,45
SORBI_3004G131400,SORBI_3004G131400,0.2,346,,,,0.1
SORBI_3004G131700,SORBI_3004G131700,1,1,,2,0.9,0.7
SORBI_3004G131800,SORBI_3004G131800,45,28,28,22,23,41
SORBI_3004G131900,SORBI_3004G131900,4,2,0.5,1,2,5
SORBI_3004G132100,SORBI_3004G132100,5,9,6,2,2,6
SORBI_3004G132200,SORBI_3004G132200,,,102,,,
SORBI_3004G132300,SORBI_3004G132300,89,84,85,102,46,95
SORBI_3004G132400,SORBI_3004G132400,,2,,0.7,6,
SORBI_3004G132600,SORBI_3004G132600,10,4,3,3,6,9
SORBI_3004G132700,SORBI_3004G132700,0.2,0.1,0.1,0.6,,0.1
SORBI_3004G132800,SORBI_3004G132800,,,1,,,
SORBI_3004G132900,SORBI_3004G132900,0.4,0.6,0.1,0.5,0.2,0.4
SORBI_3004G133000,SORBI_3004G133000,0.5,2,0.3,1,0.4,0.4
SORBI_3004G133100,SORBI_3004G133100,2,0.1,0.4,0.9,0.1,1
SORBI_3004G133201,SORBI_3004G133201,3,1,4,1,0.3,3
SORBI_3004G133301,SORBI_3004G133301,27,23,16,21,9,25
SORBI_3004G133400,SORBI_3004G133400,9,213,3,108,59,12
SORBI_3004G133500,SORBI_3004G133500,162,286,340,15,26,171
SORBI_3004G133600,SORBI_3004G133600,0.4,14,168,,0.3,
SORBI_3004G133700,SORBI_3004G133700,102,60,146,123,50,133
SORBI_3004G133750,SORBI_3004G133750,,0.7,,,,
SORBI_3004G133800,SORBI_3004G133800,,131,,,,
SORBI_3004G134000,SORBI_3004G134000,0.2,9,,,,0.4
SORBI_3004G134100,SORBI_3004G134100,55,24,45,57,21,62
SORBI_3004G134200,SORBI_3004G134200,113,47,97,44,41,109
SORBI_3004G134400,SORBI_3004G134400,0.6,,0.1,0.3,0.1,0.6
SORBI_3004G134500,SORBI_3004G134500,24,21,15,44,21,26
SORBI_3004G134600,SORBI_3004G134600,0.1,219,,0.2,,
SORBI_3004G134700,SORBI_3004G134700,2,24,2,1,3,2
SORBI_3004G134900,SORBI_3004G134900,,0.6,,,,
SORBI_3004G135200,SORBI_3004G135200,12,4,12,8,2,14
SORBI_3004G135300,SORBI_3004G135300,13,6,9,5,5,11
SORBI_3004G135366,SORBI_3004G135366,,1,,,,
SORBI_3004G135400,SORBI_3004G135400,86,70,104,74,35,98
SORBI_3004G135500,SORBI_3004G135500,18,3,12,2,3,19
SORBI_3004G135600,SORBI_3004G135600,,,0.2,,,
SORBI_3004G135900,SORBI_3004G135900,13,3,10,3,2,10
SORBI_3004G136100,SORBI_3004G136100,,22,,,,0.1
SORBI_3004G136200,SORBI_3004G136200,7,4,6,5,4,7
SORBI_3004G136300,SORBI_3004G136300,12,6,12,10,5,13
SORBI_3004G136400,SORBI_3004G136400,,39,,0.1,,
SORBI_3004G136500,SORBI_3004G136500,76,47,58,45,26,74
SORBI_3004G136600,SORBI_3004G136600,6,74,0.7,115,44,30
SORBI_3004G137200,SORBI_3004G137200,,36,,,,
SORBI_3004G137300,SORBI_3004G137300,0.2,,,,,0.5
SORBI_3004G137400,SORBI_3004G137400,0.1,,,,,0.1
SORBI_3004G137500,SORBI_3004G137500,21,17,37,23,10,23
SORBI_3004G137701,SORBI_3004G137701,,0.1,2,2,,0.3
SORBI_3004G137801,SORBI_3004G137801,7,3,9,3,4,7
SORBI_3004G137900,SORBI_3004G137900,74,48,49,37,26,77
SORBI_3004G138000,SORBI_3004G138000,13,4,9,5,3,11
SORBI_3004G138300,SORBI_3004G138300,72,53,18,34,27,77
SORBI_3004G138350,SORBI_3004G138350,12,12,25,8,5,17
SORBI_3004G138400,SORBI_3004G138400,,0.9,0.3,1,2,0.1
SORBI_3004G138450,SORBI_3004G138450,52,68,27,27,20,48
SORBI_3004G138600,SORBI_3004G138600,3,,0.6,,,5
SORBI_3004G138750,SORBI_3004G138750,3,0.1,0.4,,,2
SORBI_3004G138800,SORBI_3004G138800,43,37,74,65,26,56
SORBI_3004G138900,SORBI_3004G138900,0.1,,,,,
SORBI_3004G139000,SORBI_3004G139000,2,1,,2,1,2
SORBI_3004G139100,SORBI_3004G139100,6,3,2,2,2,2
SORBI_3004G139201,SORBI_3004G139201,3,0.3,2,0.4,0.3,0.8
SORBI_3004G139300,SORBI_3004G139300,,1,0.1,73,1,
SORBI_3004G139400,SORBI_3004G139400,0.5,0.4,0.6,0.2,0.1,0.1
SORBI_3004G139500,SORBI_3004G139500,6,2,6,3,3,6
SORBI_3004G139700,SORBI_3004G139700,0.5,4,84,0.2,2,0.5
SORBI_3004G139900,SORBI_3004G139900,56,0.1,5,1,0.2,51
SORBI_3004G140000,SORBI_3004G140000,0.8,4,0.1,2,4,0.2
SORBI_3004G140300,SORBI_3004G140300,221,128,261,172,133,244
SORBI_3004G140400,SORBI_3004G140400,0.1,0.1,0.3,,,0.1
SORBI_3004G140501,SORBI_3004G140501,,,,,,0.2
SORBI_3004G140600,SORBI_3004G140600,49,25,47,30,19,49
SORBI_3004G141000,SORBI_3004G141000,2184,324,567,139,151,1682
SORBI_3004G141100,SORBI_3004G141100,,,0.2,25,0.7,0.1
SORBI_3004G141200,SORBI_3004G141200,0.1,0.9,,6,,
SORBI_3004G141400,SORBI_3004G141400,23,40,13,22,12,21
SORBI_3004G141500,SORBI_3004G141500,1,0.5,0.3,,0.2,0.8
SORBI_3004G141600,SORBI_3004G141600,3,1,2,0.4,0.3,3
SORBI_3004G141700,SORBI_3004G141700,34,23,28,13,10,31
SORBI_3004G141800,SORBI_3004G141800,70,46,133,68,30,76
SORBI_3004G142000,SORBI_3004G142000,,,0.5,,,
SORBI_3004G142201,SORBI_3004G142201,21,2,2,0.4,2,10
SORBI_3004G142400,SORBI_3004G142400,130,4,129,0.1,0.8,117
SORBI_3004G142500,SORBI_3004G142500,9,0.2,242,,,1
SORBI_3004G142700,SORBI_3004G142700,12,3,4,0.9,10,11
SORBI_3004G142800,SORBI_3004G142800,214,1255,71,778,2331,221
SORBI_3004G142900,SORBI_3004G142900,11,7,8,9,9,12
SORBI_3004G143000,SORBI_3004G143000,13,6,9,5,3,13
SORBI_3004G143100,SORBI_3004G143100,6,3,6,0.9,2,7
SORBI_3004G143300,SORBI_3004G143300,45,26,49,7,19,33
SORBI_3004G143400,SORBI_3004G143400,2,0.7,0.4,0.3,3,2
SORBI_3004G143475,SORBI_3004G143475,44,25,50,26,10,40
SORBI_3004G143550,SORBI_3004G143550,2,0.2,0.8,0.2,0.1,2
SORBI_3004G143625,SORBI_3004G143625,2,0.2,3,0.2,,2
SORBI_3004G143700,SORBI_3004G143700,98,81,53,101,52,99
SORBI_3004G143900,SORBI_3004G143900,36,53,148,28,10,41
SORBI_3004G144000,SORBI_3004G144000,5,2,2,2,5,5
SORBI_3004G144100,SORBI_3004G144100,94,7,41,1,2,113
SORBI_3004G144150,SORBI_3004G144150,,3,,1,0.2,
SORBI_3004G144200,SORBI_3004G144200,0.1,3,,1,1,
SORBI_3004G144300,SORBI_3004G144300,7,5,7,5,6,8
SORBI_3004G144400,SORBI_3004G144400,13,7,10,9,10,13
SORBI_3004G144433,SORBI_3004G144433,,1,,,,
SORBI_3004G144500,SORBI_3004G144500,0.3,4,0.7,9,4,0.3
SORBI_3004G144700,SORBI_3004G144700,11,5,2,5,8,11
SORBI_3004G144800,SORBI_3004G144800,,0.1,,,,
SORBI_3004G145000,SORBI_3004G145000,40,41,82,82,31,53
SORBI_3004G145200,SORBI_3004G145200,1,13,4,36,8,1
SORBI_3004G145300,SORBI_3004G145300,24,10,17,7,4,23
SORBI_3004G145500,SORBI_3004G145500,33,16,32,22,13,31
SORBI_3004G145550,SORBI_3004G145550,0.2,0.9,0.3,0.1,0.2,0.2
SORBI_3004G145600,SORBI_3004G145600,10,8,15,6,3,10
SORBI_3004G145701,SORBI_3004G145701,3,22,11,3,7,3
SORBI_3004G145801,SORBI_3004G145801,420,172,261,290,133,474
SORBI_3004G145900,SORBI_3004G145900,,,,1,0.5,0.3
SORBI_3004G146000,SORBI_3004G146000,129,226,128,193,41,171
SORBI_3004G146100,SORBI_3004G146100,31,15,32,17,8,30
SORBI_3004G146150,SORBI_3004G146150,30,13,26,16,7,23
SORBI_3004G146200,SORBI_3004G146200,2,5,3,6,2,2
SORBI_3004G146300,SORBI_3004G146300,14,7,15,14,3,12
SORBI_3004G146500,SORBI_3004G146500,62,29,51,46,18,61
SORBI_3004G146600,SORBI_3004G146600,59,30,82,28,19,56
SORBI_3004G146800,SORBI_3004G146800,30,61,41,51,47,27
SORBI_3004G147200,SORBI_3004G147200,5,2,3,3,3,4
SORBI_3004G147300,SORBI_3004G147300,2,,,,,2
SORBI_3004G147400,SORBI_3004G147400,,4,5,50,46,
SORBI_3004G147500,SORBI_3004G147500,224,113,218,96,52,245
SORBI_3004G147600,SORBI_3004G147600,2,0.3,2,0.2,0.1,2
SORBI_3004G147700,SORBI_3004G147700,0.2,79,,,,
SORBI_3004G147800,SORBI_3004G147800,66,37,50,49,12,48
SORBI_3004G147900,SORBI_3004G147900,,4,,0.3,,
SORBI_3004G148000,SORBI_3004G148000,,0.9,,0.4,0.1,
SORBI_3004G148100,SORBI_3004G148100,,0.3,,4,,
SORBI_3004G148200,SORBI_3004G148200,,,,2,,
SORBI_3004G148300,SORBI_3004G148300,,,,8,,
SORBI_3004G148400,SORBI_3004G148400,,,,1,,
SORBI_3004G148500,SORBI_3004G148500,0.4,,,,,0.9
SORBI_3004G148600,SORBI_3004G148600,56,59,23,3,7,32
SORBI_3004G148750,SORBI_3004G148750,15,8,10,4,4,10
SORBI_3004G148900,SORBI_3004G148900,19,8,18,3,1,16
SORBI_3004G149000,SORBI_3004G149000,2,1,1,0.5,0.3,2
SORBI_3004G149100,SORBI_3004G149100,2,14,1,9,3,3
SORBI_3004G149200,SORBI_3004G149200,,2,1,,,
SORBI_3004G149400,SORBI_3004G149400,134,61,55,9,9,72
SORBI_3004G149433,SORBI_3004G149433,0.2,,0.4,,,0.3
SORBI_3004G149600,SORBI_3004G149600,38,28,18,22,21,35
SORBI_3004G149700,SORBI_3004G149700,79,42,74,36,16,79
SORBI_3004G149800,SORBI_3004G149800,36,30,89,34,22,29
SORBI_3004G150200,SORBI_3004G150200,53,107,41,63,52,61
SORBI_3004G150300,SORBI_3004G150300,3,2,2,1,0.9,2
SORBI_3004G150400,SORBI_3004G150400,18,19,12,22,15,15
SORBI_3004G150800,SORBI_3004G150800,,1,,2,1,
SORBI_3004G150901,SORBI_3004G150901,,0.7,,,,
SORBI_3004G151000,SORBI_3004G151000,87,22,75,24,14,98
SORBI_3004G151200,SORBI_3004G151200,63,48,89,83,28,80
SORBI_3004G151300,SORBI_3004G151300,9,23,7,1,7,7
SORBI_3004G151400,SORBI_3004G151400,51,38,68,58,77,58
SORBI_3004G151500,SORBI_3004G151500,3,8,4,10,36,3
SORBI_3004G151600,SORBI_3004G151600,38,174,27,29,183,59
SORBI_3004G151700,SORBI_3004G151700,342,302,251,190,126,262
SORBI_3004G151800,SORBI_3004G151800,39,164,105,62,93,47
SORBI_3004G151900,SORBI_3004G151900,5,6,4,0.3,10,3
SORBI_3004G152000,SORBI_3004G152000,44,10,22,7,4,48
SORBI_3004G152100,SORBI_3004G152100,8,9,3,2,14,7
SORBI_3004G152200,SORBI_3004G152200,18,6,11,13,2,18
SORBI_3004G152300,SORBI_3004G152300,18,3,4,5,1,28
SORBI_3004G152400,SORBI_3004G152400,62,41,75,68,24,76
SORBI_3004G152501,SORBI_3004G152501,12,7,9,3,1,14
SORBI_3004G152601,SORBI_3004G152601,10,7,15,13,7,12
SORBI_3004G152700,SORBI_3004G152700,153,107,169,169,56,169
SORBI_3004G152800,SORBI_3004G152800,18,21,27,7,11,27
SORBI_3004G152900,SORBI_3004G152900,1,0.5,1,12,0.4,2
SORBI_3004G153000,SORBI_3004G153000,64,35,28,31,7,70
SORBI_3004G153100,SORBI_3004G153100,5,0.4,0.4,5,0.2,5
SORBI_3004G153200,SORBI_3004G153200,147,137,169,122,57,135
SORBI_3004G153300,SORBI_3004G153300,,8,,1,,
SORBI_3004G153400,SORBI_3004G153400,59,56,37,91,61,56
SORBI_3004G153501,SORBI_3004G153501,71,72,59,127,89,69
SORBI_3004G153600,SORBI_3004G153600,10,9,5,11,8,9
SORBI_3004G153700,SORBI_3004G153700,1,0.2,0.6,15,2,3
SORBI_3004G153800,SORBI_3004G153800,0.4,0.6,0.2,5,1,0.2
SORBI_3004G153900,SORBI_3004G153900,,,,0.1,0.6,
SORBI_3004G154000,SORBI_3004G154000,,2,,23,0.1,
SORBI_3004G154100,SORBI_3004G154100,0.1,2,0.9,0.4,,0.1
SORBI_3004G154200,SORBI_3004G154200,4,11,6,6,10,5
SORBI_3004G154300,SORBI_3004G154300,40,44,49,51,32,37
SORBI_3004G154400,SORBI_3004G154400,10,64,12,2,358,10
SORBI_3004G154466,SORBI_3004G154466,0.1,0.1,0.3,,0.5,
