GeneID	GeneName	leaf	early_infl	emer_infl	seed_5DAP	seed_10DAP	anther	pistil	embryo	endosperm
SORBI_3001G014800	SORBI_3001G014800	71	91	123	128	53	139	85	83	45
SORBI_3001G014900	SORBI_3001G014900	12	10	10	15	9	12	11	24	9
SORBI_3001G015000	SORBI_3001G015000		5	52	3	1	85	2		1
SORBI_3001G015100	SORBI_3001G015100	28	9	20	18	4	7	15	3	6
SORBI_3001G015200	SORBI_3001G015200	51	4	9	11	3	6	8	7	2
SORBI_3001G015300	SORBI_3001G015300	12	1		1		1	2	3	
SORBI_3001G015400	SORBI_3001G015400	12	26	39	38	13	44	28	35	10
SORBI_3001G015500	SORBI_3001G015500	4	10	10	18	8	6	11	22	7
SORBI_3001G015600	SORBI_3001G015600		2				18	1		
SORBI_3001G015700	SORBI_3001G015700		354	61	345	167	14	286	51	9
SORBI_3001G015800	SORBI_3001G015800	15	34	33	28	19	11	34	15	18
SORBI_3001G016000	SORBI_3001G016000	11	21	20	30	16	14	27	21	15
SORBI_3001G016100	SORBI_3001G016100	4	2	2				2		
SORBI_3001G016200	SORBI_3001G016200	1	19	7	7	8	6	22	11	2
SORBI_3001G016201	SORBI_3001G016201	1	2					1		
SORBI_3001G016400	SORBI_3001G016400	49	157	110	219	79	78	143	151	39
SORBI_3001G016500	SORBI_3001G016500	39	207	99	211	54	48	155	197	33
SORBI_3001G016600	SORBI_3001G016600	11	23	20	15	9	15	27	20	6
SORBI_3001G016700	SORBI_3001G016700	18	11	21	17	15	5	15	19	12
SORBI_3001G016800	SORBI_3001G016800		6	3	9	1	9	8	6	
SORBI_3001G016900	SORBI_3001G016900	49	66	104	116	50	58	91	109	47
SORBI_3001G017000	SORBI_3001G017000	26	13	10	16	7	3	20	5	11
SORBI_3001G017100	SORBI_3001G017100	25	190	84	295	46	36	319	224	35
SORBI_3001G017200	SORBI_3001G017200	34	82	108	77	77	250	100	107	81
SORBI_3001G017300	SORBI_3001G017300	27	5	9	15	4	5	19	11	7
SORBI_3001G017400	SORBI_3001G017400	3							7	2
SORBI_3001G017500	SORBI_3001G017500					17			237	62
SORBI_3001G017600	SORBI_3001G017600	4	10	14	10	8	4	9	10	7
SORBI_3001G017700	SORBI_3001G017700	8	15	24	24	9	22	19	24	7
SORBI_3001G017800	SORBI_3001G017800	7	12	15	17	11	12	13	13	12
SORBI_3001G017900	SORBI_3001G017900	11	13	18	14	8	14	19	16	7
SORBI_3001G018000	SORBI_3001G018000	21	4	6	6	1	11	5	5	1
SORBI_3001G018100	SORBI_3001G018100	9	32	30	26	13	7	44	35	9
SORBI_3001G018200	SORBI_3001G018200	3	18	18	22	5	12	19	19	3
SORBI_3001G018350	SORBI_3001G018350								1	
SORBI_3001G018500	SORBI_3001G018500	34	104	84	173	54	133	106	77	33
SORBI_3001G018550	SORBI_3001G018550		2	2	2	1	1	2	2	
SORBI_3001G018800	SORBI_3001G018800	136	263	407	779	103	161	374	263	122
SORBI_3001G018900	SORBI_3001G018900	213	1096	656	1333	328	401	1027	988	217
SORBI_3001G019100	SORBI_3001G019100		1		5			3		
SORBI_3001G019200	SORBI_3001G019200	4	36	17	28	5	3	25	22	3
SORBI_3001G019300	SORBI_3001G019300	296	2	14	5	15	15	19	2	12
SORBI_3001G019400	SORBI_3001G019400	9	26	16	18	5	6	33	10	3
SORBI_3001G019500	SORBI_3001G019500	3								2
SORBI_3001G019601	SORBI_3001G019601	6	4	5	8	2	5	12	5	4
SORBI_3001G019700	SORBI_3001G019700	8	3		2	5	4		37	5
SORBI_3001G019800	SORBI_3001G019800	11	19	22	27	12	31	31	37	10
SORBI_3001G019900	SORBI_3001G019900	29	57	48	51	30	44	76	39	31
SORBI_3001G020000	SORBI_3001G020000	21	54	46	49	24	32	53	44	16
SORBI_3001G020100	SORBI_3001G020100	63	26	24	39	9	18	34	20	10
SORBI_3001G020200	SORBI_3001G020200					1				2
SORBI_3001G020350	SORBI_3001G020350	6					8			
SORBI_3001G020500	SORBI_3001G020500	13	8	3	5	5	2	24	2	2
SORBI_3001G020600	SORBI_3001G020600	39	4	3	17	2	8	25	6	4
SORBI_3001G020700	SORBI_3001G020700	2	4	6	3		20	2		
SORBI_3001G021000	SORBI_3001G021000	46	23	55	35	38	42	41	43	35
SORBI_3001G021100	SORBI_3001G021100						1			
SORBI_3001G021200	SORBI_3001G021200			6			11			
SORBI_3001G021300	SORBI_3001G021300	6	17	12	29	17	13	15	18	8
SORBI_3001G021400	SORBI_3001G021400	1	3	1		1	2	2	2	
SORBI_3001G021500	SORBI_3001G021500	38	254	131	239	90	40	173	113	44
SORBI_3001G021601	SORBI_3001G021601	1	2		6	2		3		2
SORBI_3001G021700	SORBI_3001G021700	2	21	11	9	3	3	14	10	2
SORBI_3001G021800	SORBI_3001G021800	6	9	11	12	8	6	15	14	4
SORBI_3001G021900	SORBI_3001G021900		1					2	3	
SORBI_3001G022000	SORBI_3001G022000	2	19	29	23	18	16	20	17	15
SORBI_3001G022100	SORBI_3001G022100	13	18	25	25	14	22	21	12	18
SORBI_3001G022200	SORBI_3001G022200		6	1				2		1
SORBI_3001G022300	SORBI_3001G022300	10	22	28	56	18	55	32	26	13
SORBI_3001G022400	SORBI_3001G022400	10	32	7	28	4	1	21		
SORBI_3001G022500	SORBI_3001G022500	45	40	48	44	29	47	29	54	24
SORBI_3001G022600	SORBI_3001G022600	74	145	64	24	31	23	34	61	36
SORBI_3001G022800	SORBI_3001G022800	33	185	83	38	15	20	57	21	11
SORBI_3001G022900	SORBI_3001G022900	78	91	152	177	111	73	94	126	133
SORBI_3001G023000	SORBI_3001G023000	17	34	36	27	21	25	24	42	16
SORBI_3001G023100	SORBI_3001G023100	32	99	102	100	48	115	75	81	42
SORBI_3001G023200	SORBI_3001G023200	5	38	27	23	17	28	37	31	40
SORBI_3001G023300	SORBI_3001G023300	12	59	77	37	13	20	11	73	9
SORBI_3001G023400	SORBI_3001G023400	6	11	9	9	2	1	16	11	2
SORBI_3001G023500	SORBI_3001G023500		24	27	15	4	12	18	9	2
SORBI_3001G023600	SORBI_3001G023600		11	6	9	3	18	14	9	1
SORBI_3001G023700	SORBI_3001G023700	9					2			
SORBI_3001G023800	SORBI_3001G023800	7	21	18	23	16	9	25	26	12
SORBI_3001G023900	SORBI_3001G023900	12	136	46	79	68	39	122	233	47
SORBI_3001G024000	SORBI_3001G024000	11	46	65	78	21	48	72	110	14
SORBI_3001G024100	SORBI_3001G024100		6	9			34			
SORBI_3001G024200	SORBI_3001G024200	21	43	27	19	13	9	34	5	15
SORBI_3001G024250	SORBI_3001G024250				1		55		1	
SORBI_3001G024300	SORBI_3001G024300						266	3		
SORBI_3001G024400	SORBI_3001G024400	14		4		1	589	8		3
SORBI_3001G024500	SORBI_3001G024500	102		2	2					
SORBI_3001G024700	SORBI_3001G024700						171			
SORBI_3001G024800	SORBI_3001G024800						161			
SORBI_3001G024900	SORBI_3001G024900			87			3082	23		
SORBI_3001G025000	SORBI_3001G025000	22	80	57	62	31	31	90	51	34
SORBI_3001G025101	SORBI_3001G025101	2	35	57		3	10		29	7
SORBI_3001G025201	SORBI_3001G025201		2	3					1	
SORBI_3001G025300	SORBI_3001G025300	6	16	29	6	6	9	8	13	7
SORBI_3001G025400	SORBI_3001G025400	61	31	48	40	15	61	28	15	13
SORBI_3001G025500	SORBI_3001G025500	47	144	129	194	77	446	59	20	25
SORBI_3001G025600	SORBI_3001G025600	53	125	128	221	38	137	171	109	42
SORBI_3001G025700	SORBI_3001G025700	13	22	30	37	35	74	28	29	27
SORBI_3001G025800	SORBI_3001G025800	5	8	6	11	3	10	10	9	2
SORBI_3001G025900	SORBI_3001G025900		6	3	8	2	3	5	3	
SORBI_3001G026000	SORBI_3001G026000	47	49	39	53	23	10	51	157	28
SORBI_3001G026200	SORBI_3001G026200	15	30	35	29	17	25	42	32	24
SORBI_3001G026300	SORBI_3001G026300		2						3	
SORBI_3001G026400	SORBI_3001G026400	1	11	8	11	4	2	12	11	2
SORBI_3001G026500	SORBI_3001G026500	43	200	149	61	49	35	101	79	47
SORBI_3001G026600	SORBI_3001G026600	7	127	57	101	22	58	85	53	15
SORBI_3001G026700	SORBI_3001G026700	1	40	4	7	2	2	28		2
SORBI_3001G026800	SORBI_3001G026800	2	148	42	48	18	48	63	38	11
SORBI_3001G026900	SORBI_3001G026900	24	73	61	86	42	38	48	59	43
SORBI_3001G027000	SORBI_3001G027000									1
SORBI_3001G027100	FEN1-B	5	9	17	11	7	6	10	14	3
SORBI_3001G027200	SORBI_3001G027200							3		
SORBI_3001G027300	SORBI_3001G027300	2	2	5	4		1	3	2	1
SORBI_3001G027400	SORBI_3001G027400		5	5	6	1	3	8	9	
SORBI_3001G027500	SORBI_3001G027500	2	11	11	17	1	2	12	17	
SORBI_3001G027600	SORBI_3001G027600	189	92	127	118	14	19	88	41	4
SORBI_3001G027700	SORBI_3001G027700		4	3	6	1	14	6	5	2
SORBI_3001G027800	SORBI_3001G027800		1		1				1	1
SORBI_3001G027900	SORBI_3001G027900	1					7			
SORBI_3001G028000	SORBI_3001G028000	2	28	4	18	4		31	4	7
SORBI_3001G028100	SORBI_3001G028100	126	61	116	45	20	9	80	44	22
SORBI_3001G028200	SORBI_3001G028200			1			2			
SORBI_3001G028400	SORBI_3001G028400	21	50	48	35	26	30	56	35	19
SORBI_3001G028500	SORBI_3001G028500	26	11	18	10	5	43	18	10	5
SORBI_3001G028700	SORBI_3001G028700	6	4	6	9	2	1	4	5	2
SORBI_3001G028800	SORBI_3001G028800	10	10	16	6	23	1			27
SORBI_3001G028900	SORBI_3001G028900	2	3	3	3	1	3	2	2	1
SORBI_3001G029000	SORBI_3001G029000	4	14	8	12	6	6	19	11	5
SORBI_3001G029100	SORBI_3001G029100	29	2	3	6	2	8	4		1
SORBI_3001G029200	SORBI_3001G029200	450	211	348	194	177	99	282	70	159
SORBI_3001G029300	SORBI_3001G029300		3	6	4	9	190	6		6
SORBI_3001G029400	SORBI_3001G029400	10	18	21	24	5	18	24	20	13
SORBI_3001G029600	SORBI_3001G029600	205	5	5	4	3	4	18		6
SORBI_3001G029700	SORBI_3001G029700		1	1	7	19			2	8
SORBI_3001G029800	SORBI_3001G029800		10	3	8		2	9	3	
SORBI_3001G029900	SORBI_3001G029900	3	2	1	2			1		
SORBI_3001G030000	SORBI_3001G030000	28	69	84	98	46	114	91	68	29
SORBI_3001G030100	SORBI_3001G030100		33	4	11	7	2	43	11	3
SORBI_3001G030200	SORBI_3001G030200	6	3	5	5	2		3	3	2
SORBI_3001G030300	SORBI_3001G030300	25	76	89	146	26	116	88	105	34
SORBI_3001G030400	SORBI_3001G030400	1	78	25	33	15	3	44	28	6
SORBI_3001G030500	SORBI_3001G030500	22	4	4	3	1	1	9		1
SORBI_3001G030600	SORBI_3001G030600	2		1	3	8		8		5
SORBI_3001G030900	SORBI_3001G030900		1							
SORBI_3001G031100	SORBI_3001G031100	55	87	73	94	26	82	107	52	23
SORBI_3001G031200	SORBI_3001G031200	25	37	31	20	15	19	38	32	13
SORBI_3001G031300	SORBI_3001G031300	52	28	26	10	7	6	43	22	7
SORBI_3001G031400	SORBI_3001G031400	8	37	18	21	11	20	46	31	8
SORBI_3001G031500	SORBI_3001G031500	1	1	2	1		3	2	3	
SORBI_3001G031600	SORBI_3001G031600	25	23	37	32	19	36	31	32	16
SORBI_3001G031700	SORBI_3001G031700		59	2	28	1		19	54	
SORBI_3001G031800	SORBI_3001G031800	3	6	4	6	3	15	10	5	4
SORBI_3001G031900	SORBI_3001G031900	7	15	12	14	7	32	10	11	5
SORBI_3001G032000	SORBI_3001G032000	125	20	9	22	8	2	21	2	5
SORBI_3001G032100	SORBI_3001G032100	102	32	32	29	8	10	84	9	8
SORBI_3001G032200	SORBI_3001G032200	24	40	41	36	16	84	37	36	9
SORBI_3001G032300	SORBI_3001G032300				11	1		1		
SORBI_3001G032400	SORBI_3001G032400	2		2	1					
SORBI_3001G032550	SORBI_3001G032550	2	8	5	6	3	3	13	10	4
SORBI_3001G032700	SORBI_3001G032700	10	3	4	6	3	4	3	1	3
SORBI_3001G032800	SORBI_3001G032800	54	70	71	95	40	69	96	95	38
SORBI_3001G032850	SORBI_3001G032850	2			1					
SORBI_3001G032900	SORBI_3001G032900			3	3			1	1	4
SORBI_3001G033000	SORBI_3001G033000	4	14	15	29	5	6	27	17	6
SORBI_3001G033100	SORBI_3001G033100	72	23	34	56	17	48	70	24	27
SORBI_3001G033200	SORBI_3001G033200	8	11	11	12	5	5	16	8	4
SORBI_3001G033300	SORBI_3001G033300		227	142	181	86	81	79	92	43
SORBI_3001G033400	SORBI_3001G033400	10	38	35	36	44	14	61	49	77
SORBI_3001G033500	SORBI_3001G033500	16	32	36	43	14	28	33	47	10
SORBI_3001G033600	SORBI_3001G033600		2	2	2		3	2	2	
SORBI_3001G033701	SORBI_3001G033701						7			
SORBI_3001G033800	SORBI_3001G033800		2					1		
SORBI_3001G033900	SORBI_3001G033900	2	5	5	8	3	3	7	11	2
SORBI_3001G034000	SORBI_3001G034000		3	2	5	1	6	3	3	
SORBI_3001G034100	SORBI_3001G034100	22	15	8	32	5	6	18	6	5
SORBI_3001G034200	SORBI_3001G034200			2	2		7			
SORBI_3001G034300	SORBI_3001G034300	6	13	4	4	4	2	6	5	2
SORBI_3001G034500	SORBI_3001G034500	13	77	51	63	42	54	61	86	32
SORBI_3001G034600	SORBI_3001G034600	11	37	24	25	20	17	40	37	19
SORBI_3001G034700	SORBI_3001G034700	810	1407	1594	1214	345	332	1060	673	362
SORBI_3001G034900	SORBI_3001G034900			2		2		2	1	2
SORBI_3001G035000	SORBI_3001G035000	2			6			7		1
SORBI_3001G035100	SORBI_3001G035100				3	2	1			2
SORBI_3001G035200	SORBI_3001G035200	17	39	50	49	25	52	45	38	18
SORBI_3001G035400	SORBI_3001G035400	49	210	206	228	70	223	151	150	63
SORBI_3001G035500	SORBI_3001G035500	14	15	46	19	9	46	20	24	8
SORBI_3001G035600	SORBI_3001G035600	132	72	345	232	89	377	68	122	45
SORBI_3001G035800	SORBI_3001G035800	183	52	10	27	3		30	7	2
SORBI_3001G035900	SORBI_3001G035900	13	15	16	14	8	10	15	14	6
SORBI_3001G036050	SORBI_3001G036050	12	11	15	12	10	7	9	19	8
SORBI_3001G036200	SORBI_3001G036200			2	1		181	1		
SORBI_3001G036300	SORBI_3001G036300	22	99	69	93	19	82	134	68	13
SORBI_3001G036400	SORBI_3001G036400		2	1			1	2	2	
SORBI_3001G036700	SORBI_3001G036700	8	23	18	17	12	18	26	16	12
SORBI_3001G036800	SORBI_3001G036800	8	19	25	18	8	3	26	8	7
SORBI_3001G036900	SORBI_3001G036900	56	274	163	292	107	90	236	410	108
SORBI_3001G037000	SORBI_3001G037000	41	49	37	58	35	37	79	46	56
SORBI_3001G037033	SORBI_3001G037033	6	2	3	3	2	2	4	5	
SORBI_3001G037066	SORBI_3001G037066			4		1	1282	7	3	4
SORBI_3001G037100	SORBI_3001G037100	14	42	35	22	27	24	37	67	14
SORBI_3001G037400	SORBI_3001G037400		33	19	6		7	15	2	
SORBI_3001G037500	SORBI_3001G037500	19	13	19	14	5	3	13	10	3
SORBI_3001G037600	SORBI_3001G037600		5							
SORBI_3001G037800	SORBI_3001G037800	2		2	8	112	3		11	194
SORBI_3001G037900	SORBI_3001G037900	86	43	40	89	57	19	29	32	40
SORBI_3001G038000	SORBI_3001G038000	16	62	74	75	18	145	68	92	25
SORBI_3001G038100	SORBI_3001G038100	15	34	27	31	22	19	37	28	28
SORBI_3001G038200	SORBI_3001G038200	4	83	67	135	23	36	115	97	23
