Taxa,Amylose,Cal.g,Fat,IVSD,Prolamin,Protein,Starch
PI655988,0.227783704,-18.07869857,-0.04619472,-0.604678259,-0.179942194,-0.705400595,1.82343446
PI655989,0.491060869,0.861247245,-0.081776912,-0.396149591,0.024822273,0.166219681,0.367382117
PI655990,-0.277298929,-18.53678535,-0.112742159,1.753963137,-0.092607982,0.077136802,0.406056283
PI655991,0.362077711,-20.47979057,-0.297187328,-0.672130763,0.016918314,-0.04833204,1.603621821
PI655992,0.745070648,-29.01737004,-0.06562113,-1.452730228,-0.090349708,-0.635526225,2.197070222
PI655993,0.007571851,-21.70817738,-0.46143777,-2.008156771,0.097087045,-0.298015038,1.67963656
PI655994,-0.062063229,33.47025987,0.384048114,-0.485064027,0.007885217,-0.11232115,-1.390292024
PI655995,-0.257002578,66.81760106,0.383491315,-2.041202171,0.418275014,0.881938497,-5.376237712
PI655996,0.334843179,-6.76433915,-0.041622035,-1.056842733,-0.250839109,-0.54054257,0.935213969
PI655997,-0.676118021,-19.14079072,-0.111395844,1.77474833,-0.049700773,0.247774429,1.448925159
PI655998,-0.04069792,-33.21775435,-0.193521065,-0.328020348,-0.30488575,-1.215192279,1.767653626
PI655999,0.261937667,50.9835749,0.382634505,-1.322856079,0.147874105,-0.072624492,-0.281448954
PI656000,0.45624333,29.19128209,0.301922892,-0.669821297,0.089183086,0.191313449,-0.359425475
PI656001,-1.237946504,-12.32207953,-0.017153787,0.663895245,-0.274399049,-0.49625581,1.383579155
PI656002,0.183242165,-19.95437867,0.031313557,-0.034718182,-0.26649509,-0.725863792,2.442451134
PI656003,0.540121948,-4.681047782,0.237299768,-3.10861726,-0.476514584,-2.226471153,0.632766908
PI656004,0.166036756,30.87278617,0.219517071,-0.961624384,0.237419997,1.054464742,-1.073281806
PI656005,1.51591051,15.65150609,0.125045437,-0.981750405,0.11457862,0.164796067,-0.048192847
PI656006,0.841610191,0.942751584,0.07708827,-0.797996653,-0.049700773,-0.097264889,0.427393753
PI656007,1.418325991,31.52227035,0.366346383,-0.927011046,-0.123445999,-0.040766679,0.688383896
PI656008,0.545661102,-67.48596244,-0.489710387,-2.073976548,-0.263107679,-1.300511092,2.533135384
PI656009,-0.367151538,-24.71919795,-0.268227645,-0.344750417,0.091510548,0.412094251,-0.268373038
PI656010,0.588391719,-13.93179022,0.237299768,0.583063939,-0.443769609,-0.921595187,1.542276593
PI656011,-0.196950668,-23.9669853,0.011754348,1.655203441,-0.441066239,-0.572304125,0.757429966
PI656012,-0.948327878,-15.81075631,-0.007729581,3.041490362,-0.132127779,0.284160393,0.464734327
PI656013,-0.166515848,49.69690043,0.638501668,-3.343028046,0.051921563,-0.794871656,-0.239402203
PI656014,0.628452652,102.9378172,1.158174802,-3.229474169,0.445737426,0.546608562,-3.626310723
PI656015,0.055567839,-6.98119524,0.034190992,2.568635418,-0.085330745,0.334873973,0.067840542
PI656016,-0.157811463,-13.49079353,0.136326135,0.59114707,-0.316177121,-0.680695009,0.888816555
PI656017,-0.996851368,-79.01676244,-0.475070458,3.314644793,-0.446620348,-0.479846328,0.550783969
PI656018,-0.006808592,10.93065528,-0.368050105,-0.752062218,0.235241535,0.855025512,0.005857592
PI656019,0.230720629,-6.255828039,-0.220447367,-1.483908017,0.066600345,-0.143688361,1.158202122
PI656020,-0.524146136,22.23407578,0.133417134,1.011103188,0.262156008,1.080424073,-0.612100285
PI656021,0.265659262,5.174061662,0.071976145,1.658051188,0.119388381,0.495409438,0.17392891
PI656022,-4.216428772,8.445517042,0.157867177,0.913317559,0.190805422,0.669349741,0.522078779
PI656023,0.398477866,-16.19790192,0.116131408,-0.13633468,-0.476514584,-1.240286048,2.779849888
PI656024,0.020232774,-34.15942055,-0.176018969,0.380985675,-0.216813059,-0.550207412,0.874147044
PI656025,0.619000152,37.03657266,0.553485984,-1.134538895,0.127973253,-0.370136392,-1.039486015
PI656026,-0.326360008,-61.20867293,-0.19756001,-0.74949787,-0.330855903,-1.257851686,2.666494575
PI656027,-0.21795085,-56.94716037,-0.649921885,-0.868435362,0.103861868,-0.149961803,1.462261078
PI656028,0.510843562,-42.03768813,-0.548948252,-0.614394116,-0.217942196,-0.436030765,1.510270387
PI656029,-0.619143865,39.45355159,0.925266785,2.369435793,-0.371504837,-0.622979341,-0.896863016
